Log Started on 10-Mar-2018

Adding Noise
Optimizing for pentagon_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2859.1724
Iteration 31 of 50 | Duration = 2.714 | MSE = 1276.0208
Iteration 32 of 50 | Duration = 2.796 | MSE = 1274.8010
Iteration 33 of 50 | Duration = 2.732 | MSE = 1274.2517
Iteration 34 of 50 | Duration = 2.574 | MSE = 1273.5307
Iteration 35 of 50 | Duration = 2.564 | MSE = 1272.8768
Iteration 36 of 50 | Duration = 2.573 | MSE = 1272.3270
Iteration 37 of 50 | Duration = 2.584 | MSE = 1272.0364
New optimal MSE: 1272.0364

Running polya filter for radius = 1, bins = 64, delta = 20.
Initial MSE: 2859.1724
Iteration 1 of 50 | Duration = 5.015 | MSE = 2831.6363
Iteration 2 of 50 | Duration = 3.965 | MSE = 2831.6363
Iteration 3 of 50 | Duration = 4.265 | MSE = 2831.6363

Running polya filter for radius = 1, bins = 64, delta = 40.
Initial MSE: 2859.1724
Iteration 1 of 50 | Duration = 5.222 | MSE = 2831.6363
Iteration 2 of 50 | Duration = 4.100 | MSE = 2831.6363
Iteration 3 of 50 | Duration = 3.923 | MSE = 1857.5286
Iteration 4 of 50 | Duration = 3.902 | MSE = 1811.3040
Iteration 5 of 50 | Duration = 3.927 | MSE = 1804.6563
Iteration 6 of 50 | Duration = 4.532 | MSE = 1649.8224
Iteration 7 of 50 | Duration = 4.012 | MSE = 1579.2838
Iteration 8 of 50 | Duration = 4.232 | MSE = 1568.8480
Iteration 9 of 50 | Duration = 4.186 | MSE = 1502.5383
Iteration 10 of 50 | Duration = 4.128 | MSE = 1500.5659
Iteration 11 of 50 | Duration = 3.923 | MSE = 1497.7981
Iteration 12 of 50 | Duration = 4.009 | MSE = 1496.6093
Iteration 13 of 50 | Duration = 4.137 | MSE = 1491.4061
Iteration 14 of 50 | Duration = 3.933 | MSE = 1479.2834
Iteration 15 of 50 | Duration = 4.044 | MSE = 1457.7957
Iteration 16 of 50 | Duration = 4.224 | MSE = 1446.5598
Iteration 17 of 50 | Duration = 4.171 | MSE = 1440.3064
Iteration 18 of 50 | Duration = 4.254 | MSE = 1423.4381
Iteration 19 of 50 | Duration = 4.022 | MSE = 1410.7069
Iteration 20 of 50 | Duration = 3.960 | MSE = 1408.7270
Iteration 21 of 50 | Duration = 3.936 | MSE = 1388.4430
Iteration 22 of 50 | Duration = 3.972 | MSE = 1387.2245
Iteration 23 of 50 | Duration = 3.991 | MSE = 1385.5521
Iteration 24 of 50 | Duration = 4.004 | MSE = 1384.1416
Iteration 25 of 50 | Duration = 4.163 | MSE = 1383.0559
Iteration 26 of 50 | Duration = 4.188 | MSE = 1381.2020
Iteration 27 of 50 | Duration = 4.092 | MSE = 1380.4540
Iteration 28 of 50 | Duration = 3.946 | MSE = 1379.7564
Iteration 29 of 50 | Duration = 3.964 | MSE = 1378.3522
Iteration 30 of 50 | Duration = 3.965 | MSE = 1376.0871
Iteration 31 of 50 | Duration = 3.954 | MSE = 1373.1391
Iteration 32 of 50 | Duration = 3.989 | MSE = 1372.1258
Iteration 33 of 50 | Duration = 4.246 | MSE = 1364.5954
Iteration 34 of 50 | Duration = 4.224 | MSE = 1358.7144
Iteration 35 of 50 | Duration = 4.145 | MSE = 1357.6446
Iteration 36 of 50 | Duration = 3.945 | MSE = 1357.1281
Iteration 37 of 50 | Duration = 3.942 | MSE = 1355.3023
Iteration 38 of 50 | Duration = 3.955 | MSE = 1353.9991
Iteration 39 of 50 | Duration = 4.048 | MSE = 1347.6860
Iteration 40 of 50 | Duration = 3.912 | MSE = 1343.1687
Iteration 41 of 50 | Duration = 4.057 | MSE = 1342.1896
Iteration 42 of 50 | Duration = 4.271 | MSE = 1335.3800
Iteration 43 of 50 | Duration = 4.162 | MSE = 1330.4599
Iteration 44 of 50 | Duration = 4.071 | MSE = 1329.5017
