Log Started on 09-Mar-2018

Adding Noise
Optimizing for pentagon_speckle_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2829.6254
Iteration 11 of 50 | Duration = 4.999 | MSE = 725.0519
Iteration 12 of 50 | Duration = 4.168 | MSE = 723.0719
Iteration 13 of 50 | Duration = 4.146 | MSE = 721.2595
Iteration 14 of 50 | Duration = 4.523 | MSE = 719.3504
Iteration 15 of 50 | Duration = 4.910 | MSE = 717.2359
Iteration 16 of 50 | Duration = 4.852 | MSE = 716.3699
Iteration 17 of 50 | Duration = 4.429 | MSE = 715.7189
Iteration 18 of 50 | Duration = 4.472 | MSE = 715.0445
Iteration 19 of 50 | Duration = 4.809 | MSE = 714.3012
Iteration 20 of 50 | Duration = 5.179 | MSE = 713.8907
New optimal MSE: 713.8907

Running polya filter for radius = 1, bins = 64, delta = 180.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 5.678 | MSE = 1275.3461
Iteration 2 of 50 | Duration = 5.726 | MSE = 987.3908
Iteration 3 of 50 | Duration = 5.109 | MSE = 836.9894
